Time	L0F1-200_1	L0F2-200_1	L0F3-200_1	L0F4-200_1	L0F5-200_1	L1F1-200_1	L1F2-200_1	L1F3-200_1	L1F4-200_1	L1F5-200_1	L0F1-200_2	L0F2-200_2	L0F3-200_2	L0F4-200_2	L0F5-200_2	L1F1-200_2	L1F2-200_2	L1F3-200_2	L1F4-200_2	L1F5-200_2	L0F1-200_3	L0F2-200_3	L0F3-200_3	L0F4-200_3	L0F5-200_3	L1F1-200_3	L1F2-200_3	L1F3-200_3	L1F4-200_3	L1F5-200_3
13.62	0.039	0.433	0.039	0.039	0.039	0.04	0.34600000000000003	0.039	0.046	0.562	0.04	0.563	0.04	0.04	0.04	0.04	0.368	0.039	0.039	0.595	0.039	0.506	0.04	0.04	0.039	0.04	0.363	0.039	0.039	0.465
13.87	0.039	0.45	0.039	0.039	0.039	0.04	0.35700000000000004	0.039	0.046	0.5760000000000001	0.04	0.59	0.04	0.04	0.039	0.04	0.379	0.039	0.039	0.605	0.039	0.524	0.04	0.04	0.039	0.04	0.374	0.039	0.039	0.475
14.13	0.039	0.469	0.039	0.039	0.039	0.04	0.364	0.039	0.047	0.586	0.04	0.61	0.04	0.04	0.039	0.04	0.392	0.039	0.039	0.62	0.039	0.5489999999999999	0.04	0.04	0.039	0.04	0.386	0.039	0.039	0.486
14.4	0.039	0.488	0.039	0.039	0.039	0.04	0.373	0.039	0.048	0.598	0.04	0.633	0.04	0.04	0.04	0.04	0.402	0.039	0.039	0.629	0.039	0.5720000000000001	0.04	0.04	0.039	0.04	0.395	0.039	0.039	0.495
14.65	0.039	0.508	0.039	0.039	0.039	0.04	0.38299999999999995	0.039	0.048	0.605	0.04	0.6509999999999999	0.04	0.04	0.039	0.04	0.41	0.039	0.039	0.634	0.039	0.588	0.04	0.04	0.039	0.04	0.40299999999999997	0.039	0.039	0.5
14.92	0.039	0.525	0.039	0.039	0.039	0.04	0.39	0.039	0.049	0.614	0.04	0.672	0.04	0.04	0.039	0.04	0.42	0.039	0.039	0.643	0.039	0.631	0.04	0.04	0.039	0.04	0.41200000000000003	0.039	0.039	0.509
15.18	0.039	0.5429999999999999	0.039	0.039	0.039	0.04	0.39799999999999996	0.039	0.05	0.621	0.04	0.691	0.04	0.04	0.039	0.04	0.429	0.039	0.039	0.652	0.039	0.628	0.04	0.04	0.039	0.04	0.42200000000000004	0.039	0.039	0.519
15.45	0.039	0.5589999999999999	0.039	0.039	0.039	0.04	0.40299999999999997	0.039	0.05	0.632	0.04	0.711	0.04	0.04	0.04	0.04	0.44	0.039	0.039	0.665	0.039	0.65	0.04	0.04	0.039	0.04	0.431	0.039	0.039	0.528
15.7	0.039	0.579	0.039	0.039	0.039	0.04	0.409	0.039	0.051	0.639	0.04	0.726	0.04	0.04	0.04	0.04	0.446	0.039	0.039	0.6679999999999999	0.039	0.6709999999999999	0.04	0.04	0.039	0.04	0.43700000000000006	0.039	0.039	0.5329999999999999
15.97	0.039	0.5920000000000001	0.039	0.039	0.039	0.04	0.41600000000000004	0.039	0.052000000000000005	0.645	0.04	0.743	0.04	0.04	0.039	0.04	0.45299999999999996	0.039	0.039	0.6759999999999999	0.039	0.6809999999999999	0.04	0.04	0.039	0.04	0.444	0.039	0.039	0.54
