Sample	Treatment	Strain	BiolRep	Day	TechRep	Plate
L1F5-100_1_170901_135527	1	F	5	100	1	170901_135527
L1F5-100_2_170901_135527	1	F	5	100	2	170901_135527
L1F5-100_3_170901_135527	1	F	5	100	3	170901_135527
L1F5-200_1_180112_134047	1	F	5	200	1	180112_134047
L1F5-200_2_180112_134047	1	F	5	200	2	180112_134047
L1F5-200_3_180112_134047	1	F	5	200	3	180112_134047
L1J1-100_1_170901_135527	1	J	1	100	1	170901_135527
L1J1-100_2_170901_135527	1	J	1	100	2	170901_135527
L1J1-100_3_170901_135527	1	J	1	100	3	170901_135527
L1J2-100_1_170901_135527	1	J	2	100	1	170901_135527
L1J2-100_2_170901_135527	1	J	2	100	2	170901_135527
L1J2-100_3_170901_135527	1	J	2	100	3	170901_135527
L1J3-100_1_170901_135527	1	J	3	100	1	170901_135527
L1J3-100_2_170901_135527	1	J	3	100	2	170901_135527
L1J3-100_3_170901_135527	1	J	3	100	3	170901_135527
L1J5-100_1_170901_135527	1	J	5	100	1	170901_135527
L1J5-100_2_170901_135527	1	J	5	100	2	170901_135527
L1J5-100_3_170901_135527	1	J	5	100	3	170901_135527
L1P1-100_1_170920_133432	1	P	1	100	1	170920_133432
L1P1-100_2_170920_133432	1	P	1	100	2	170920_133432
L1P1-100_3_170920_133432	1	P	1	100	3	170920_133432
L1P2-100_1_170920_133432	1	P	2	100	1	170920_133432
L1P2-100_2_170920_133432	1	P	2	100	2	170920_133432
L1P2-100_3_170920_133432	1	P	2	100	3	170920_133432
L1P3-100_1_170920_133432	1	P	3	100	1	170920_133432
L1P3-100_2_170920_133432	1	P	3	100	2	170920_133432
L1P3-100_3_170920_133432	1	P	3	100	3	170920_133432
L1P4-100_1_170920_133432	1	P	4	100	1	170920_133432
L1P4-100_2_170920_133432	1	P	4	100	2	170920_133432
L1P4-100_3_170920_133432	1	P	4	100	3	170920_133432
L1P5-100_1_170920_133432	1	P	5	100	1	170920_133432
L1P5-100_2_170920_133432	1	P	5	100	2	170920_133432
L1P5-100_3_170920_133432	1	P	5	100	3	170920_133432
L1S1-100_1_170928_135419	1	S	1	100	1	170928_135419
L1S1-100_2_170928_135419	1	S	1	100	2	170928_135419
L1S1-100_3_170928_135419	1	S	1	100	3	170928_135419
L1S1-200_1_171017_151625	1	S	1	200	1	171017_151625
L1S1-200_2_171017_151625	1	S	1	200	2	171017_151625
L1S1-200_3_171017_151625	1	S	1	200	3	171017_151625
L1S2-100_1_170928_135419	1	S	2	100	1	170928_135419
L1S2-100_2_170928_135419	1	S	2	100	2	170928_135419
L1S2-100_3_170928_135419	1	S	2	100	3	170928_135419
L1S2-200_1_171017_151625	1	S	2	200	1	171017_151625
L1S2-200_2_171017_151625	1	S	2	200	2	171017_151625
L1S2-200_3_171017_151625	1	S	2	200	3	171017_151625
L1S3-100_1_170928_135419	1	S	3	100	1	170928_135419
L1S3-100_2_170928_135419	1	S	3	100	2	170928_135419
L1S3-100_3_170928_135419	1	S	3	100	3	170928_135419
L1S3-200_1_171017_151625	1	S	3	200	1	171017_151625
L1S3-200_2_171017_151625	1	S	3	200	2	171017_151625
L1S3-200_3_171017_151625	1	S	3	200	3	171017_151625
L1S4-100_1_170928_135419	1	S	4	100	1	170928_135419
L1S4-100_2_170928_135419	1	S	4	100	2	170928_135419
L1S4-100_3_170928_135419	1	S	4	100	3	170928_135419
L1S4-200_1_171017_151625	1	S	4	200	1	171017_151625
L1S4-200_2_171017_151625	1	S	4	200	2	171017_151625
L1S4-200_3_171017_151625	1	S	4	200	3	171017_151625
L1S5-100_1_170928_135419	1	S	5	100	1	170928_135419
L1S5-100_2_170928_135419	1	S	5	100	2	170928_135419
L1S5-100_3_170928_135419	1	S	5	100	3	170928_135419
L1S5-200_1_171017_151625	1	S	5	200	1	171017_151625
L1S5-200_2_171017_151625	1	S	5	200	2	171017_151625
L1S5-200_3_171017_151625	1	S	5	200	3	171017_151625
L2B1-100_1_170920_133432	2	B	1	100	1	170920_133432
L2B1-100_1_171002_152958	2	B	1	100	1	171002_152958
L2B1-100_1_171023_141142	2	B	1	100	1	171023_141142
L2B1-100_2_170920_133432	2	B	1	100	2	170920_133432
L2B1-100_2_171002_152958	2	B	1	100	2	171002_152958
L2B1-100_2_171023_141142	2	B	1	100	2	171023_141142
L2B1-100_3_170920_133432	2	B	1	100	3	170920_133432
L2B1-100_3_171002_152958	2	B	1	100	3	171002_152958
L2B1-100_3_171023_141142	2	B	1	100	3	171023_141142
L2B1-200_1_171017_151625	2	B	1	200	1	171017_151625
L2B1-200_1_171101_154656	2	B	1	200	1	171101_154656
L2B1-200_2_171017_151625	2	B	1	200	2	171017_151625
L2B1-200_2_171101_154656	2	B	1	200	2	171101_154656
L2B1-200_3_171017_151625	2	B	1	200	3	171017_151625
L2B1-200_3_171101_154656	2	B	1	200	3	171101_154656
L2B1-300_1_171012_201847	2	B	1	300	1	171012_201847
L2B1-300_2_171012_201847	2	B	1	300	2	171012_201847
L2B1-300_3_171012_201847	2	B	1	300	3	171012_201847
L2B2-100_1_170920_133432	2	B	2	100	1	170920_133432
L2B2-100_1_171002_152958	2	B	2	100	1	171002_152958
L2B2-100_1_171023_141142	2	B	2	100	1	171023_141142
L2B2-100_2_170920_133432	2	B	2	100	2	170920_133432
L2B2-100_2_171002_152958	2	B	2	100	2	171002_152958
L2B2-100_2_171023_141142	2	B	2	100	2	171023_141142
L2B2-100_3_170920_133432	2	B	2	100	3	170920_133432
L2B2-100_3_171002_152958	2	B	2	100	3	171002_152958
L2B2-100_3_171023_141142	2	B	2	100	3	171023_141142
L2B2-200_1_171017_151625	2	B	2	200	1	171017_151625
L2B2-200_1_171101_154656	2	B	2	200	1	171101_154656
L2B2-200_2_171017_151625	2	B	2	200	2	171017_151625
L2B2-200_2_171101_154656	2	B	2	200	2	171101_154656
L2B2-200_3_171017_151625	2	B	2	200	3	171017_151625
L2B2-200_3_171101_154656	2	B	2	200	3	171101_154656
L2B2-300_1_171012_201847	2	B	2	300	1	171012_201847
L2B2-300_2_171012_201847	2	B	2	300	2	171012_201847
L2B2-300_3_171012_201847	2	B	2	300	3	171012_201847
L2B3-100_1_170920_133432	2	B	3	100	1	170920_133432
L2B3-100_1_171002_152958	2	B	3	100	1	171002_152958
L2B3-100_1_171023_141142	2	B	3	100	1	171023_141142
L2B3-100_2_170920_133432	2	B	3	100	2	170920_133432
L2B3-100_2_171002_152958	2	B	3	100	2	171002_152958
L2B3-100_2_171023_141142	2	B	3	100	2	171023_141142
L2B3-100_3_170920_133432	2	B	3	100	3	170920_133432
L2B3-100_3_171002_152958	2	B	3	100	3	171002_152958
L2B3-100_3_171023_141142	2	B	3	100	3	171023_141142
L2B3-200_1_171017_151625	2	B	3	200	1	171017_151625
L2B3-200_1_171101_154656	2	B	3	200	1	171101_154656
L2B3-200_2_171017_151625	2	B	3	200	2	171017_151625
L2B3-200_2_171101_154656	2	B	3	200	2	171101_154656
L2B3-200_3_171017_151625	2	B	3	200	3	171017_151625
L2B3-200_3_171101_154656	2	B	3	200	3	171101_154656
L2B3-300_1_171012_201847	2	B	3	300	1	171012_201847
L2B3-300_2_171012_201847	2	B	3	300	2	171012_201847
L2B3-300_3_171012_201847	2	B	3	300	3	171012_201847
L2B4-100_1_170920_133432	2	B	4	100	1	170920_133432
L2B4-100_1_171002_152958	2	B	4	100	1	171002_152958
L2B4-100_1_171023_141142	2	B	4	100	1	171023_141142
L2B4-100_2_170920_133432	2	B	4	100	2	170920_133432
L2B4-100_2_171002_152958	2	B	4	100	2	171002_152958
L2B4-100_2_171023_141142	2	B	4	100	2	171023_141142
L2B4-100_3_170920_133432	2	B	4	100	3	170920_133432
L2B4-100_3_171002_152958	2	B	4	100	3	171002_152958
L2B4-100_3_171023_141142	2	B	4	100	3	171023_141142
L2B4-200_1_171017_151625	2	B	4	200	1	171017_151625
L2B4-200_1_171101_154656	2	B	4	200	1	171101_154656
L2B4-200_2_171017_151625	2	B	4	200	2	171017_151625
L2B4-200_2_171101_154656	2	B	4	200	2	171101_154656
L2B4-200_3_171017_151625	2	B	4	200	3	171017_151625
L2B4-200_3_171101_154656	2	B	4	200	3	171101_154656
L2B4-300_1_171012_201847	2	B	4	300	1	171012_201847
L2B4-300_2_171012_201847	2	B	4	300	2	171012_201847
L2B4-300_3_171012_201847	2	B	4	300	3	171012_201847
L2B5-100_1_170920_133432	2	B	5	100	1	170920_133432
L2B5-100_1_171002_152958	2	B	5	100	1	171002_152958
L2B5-100_1_171023_141142	2	B	5	100	1	171023_141142
L2B5-100_2_170920_133432	2	B	5	100	2	170920_133432
L2B5-100_2_171002_152958	2	B	5	100	2	171002_152958
L2B5-100_2_171023_141142	2	B	5	100	2	171023_141142
L2B5-100_3_170920_133432	2	B	5	100	3	170920_133432
L2B5-100_3_171002_152958	2	B	5	100	3	171002_152958
L2B5-100_3_171023_141142	2	B	5	100	3	171023_141142
L2B5-200_1_171017_151625	2	B	5	200	1	171017_151625
L2B5-200_1_171101_154656	2	B	5	200	1	171101_154656
L2B5-200_2_171017_151625	2	B	5	200	2	171017_151625
L2B5-200_2_171101_154656	2	B	5	200	2	171101_154656
L2B5-200_3_171017_151625	2	B	5	200	3	171017_151625
L2B5-200_3_171101_154656	2	B	5	200	3	171101_154656
L2B5-300_1_171012_201847	2	B	5	300	1	171012_201847
L2B5-300_2_171012_201847	2	B	5	300	2	171012_201847
L2B5-300_3_171012_201847	2	B	5	300	3	171012_201847
L2D1-100_1_170925_133256	2	D	1	100	1	170925_133256
L2D1-100_1_171101_154656	2	D	1	100	1	171101_154656
L2D1-100_2_170925_133256	2	D	1	100	2	170925_133256
L2D1-100_2_171101_154656	2	D	1	100	2	171101_154656
L2D1-100_3_170925_133256	2	D	1	100	3	170925_133256
L2D1-100_3_171101_154656	2	D	1	100	3	171101_154656
L2D1-200_1_171128_170113	2	D	1	200	1	171128_170113
L2D1-200_2_171128_170113	2	D	1	200	2	171128_170113
L2D1-200_3_171128_170113	2	D	1	200	3	171128_170113
L2D2-100_1_170925_133256	2	D	2	100	1	170925_133256
L2D2-100_1_171101_154656	2	D	2	100	1	171101_154656
L2D2-100_2_170925_133256	2	D	2	100	2	170925_133256
L2D2-100_2_171101_154656	2	D	2	100	2	171101_154656
L2D2-100_3_170925_133256	2	D	2	100	3	170925_133256
L2D2-100_3_171101_154656	2	D	2	100	3	171101_154656
L2D2-200_1_171128_170113	2	D	2	200	1	171128_170113
L2D2-200_2_171128_170113	2	D	2	200	2	171128_170113
L2D2-200_3_171128_170113	2	D	2	200	3	171128_170113
L2D3-100_1_170925_133256	2	D	3	100	1	170925_133256
L2D3-100_1_171101_154656	2	D	3	100	1	171101_154656
L2D3-100_2_170925_133256	2	D	3	100	2	170925_133256
L2D3-100_2_171101_154656	2	D	3	100	2	171101_154656
L2D3-100_3_170925_133256	2	D	3	100	3	170925_133256
L2D3-100_3_171101_154656	2	D	3	100	3	171101_154656
L2D3-200_1_171128_170113	2	D	3	200	1	171128_170113
L2D3-200_2_171128_170113	2	D	3	200	2	171128_170113
L2D3-200_3_171128_170113	2	D	3	200	3	171128_170113
L2D4-100_1_170925_133256	2	D	4	100	1	170925_133256
L2D4-100_1_171101_154656	2	D	4	100	1	171101_154656
L2D4-100_2_170925_133256	2	D	4	100	2	170925_133256
L2D4-100_2_171101_154656	2	D	4	100	2	171101_154656
L2D4-100_3_170925_133256	2	D	4	100	3	170925_133256
L2D4-100_3_171101_154656	2	D	4	100	3	171101_154656
L2D4-200_1_171128_170113	2	D	4	200	1	171128_170113
L2D4-200_2_171128_170113	2	D	4	200	2	171128_170113
L2D4-200_3_171128_170113	2	D	4	200	3	171128_170113
L2D5-100_1_170925_133256	2	D	5	100	1	170925_133256
